"Landing page path","Week","Sessions","Sessions with cart additions"
"/COLLECTIONS/ALL/PRODUCTS/SOMETHINGFOR-DREAMING","2025-11-17",1,0
"/collections/all-portfolio/products/quarantine-health-pack","2025-11-17",0,0
"/collections/all-portfolio/products/something-for-bloated-tums","2025-11-17",0,0
"/collections/all/products/21-day-immune-health-program","2025-11-17",4,0
"/collections/all/products/21-days-detox-program","2025-11-17",26,1
"/collections/all/products/biocol-labs-x-design-hotels","2025-11-17",0,0
"/collections/all/products/c29tZXRoaW","2025-11-17",0,0
"/collections/all/products/copy-of-the-party-animal","2025-11-17",2,0
"/collections/all/products/daily-life-tiredness","2025-11-17",0,0
"/collections/all/products/detox-14-drinking-10-bombs-10","2025-11-17",0,0
"/collections/all/products/detox-14-drinking-30-bombs-30","2025-11-17",0,0
"/collections/all/products/detox-21-drinking-10","2025-11-17",0,0
"/collections/all/products/detox-28-drinking-10-bombs-10","2025-11-17",0,0
"/collections/all/products/detox-28-drinking-30-bombs-30","2025-11-17",0,0
"/collections/all/products/fatty-liver-protocol","2025-11-17",0,0
"/collections/all/products/fatty-liver-protocol-monthly-delivery-copy","2025-11-17",0,0
"/collections/all/products/frt","2025-11-17",0,0
"/collections/all/products/health-pack","2025-11-17",5,1
"/collections/all/products/holiday-survival-kit","2025-11-17",0,0
"/collections/all/products/noc","2025-11-17",0,0
"/collections/all/products/selfcare-queen","2025-11-17",1,0
"/collections/all/products/something%C2%AE-for-a-liver-reset","2025-11-17",28,1
"/collections/all/products/something%C2%AE-for-a-liver-reset-4","2025-11-17",0,0
"/collections/all/products/something-for-a-cactus-throat","2025-11-17",2,0
"/collections/all/products/something-for-a-detox-week","2025-11-17",1585,78
"/collections/all/products/something-for-a-mini-rehab","2025-11-17",14,1
"/collections/all/products/something-for-achoos","2025-11-17",0,0
"/collections/all/products/something-for-bloated-tums","2025-11-17",0,0
"/collections/all/products/something-for-dreaming","2025-11-17",27,1
"/collections/all/products/something-for-immunity","2025-11-17",20,0
"/collections/all/products/something-for-liver-health","2025-11-17",19,1
"/collections/all/products/something-for-the-athlete","2025-11-17",0,0
"/collections/all/products/something-for-the-calorie-bombs","2025-11-17",17,3
"/collections/all/products/something-for-the-knackered","2025-11-17",9,1
"/collections/all/products/something-for-the-party-animal","2025-11-17",2,0
"/collections/all/products/something-for-the-power-woman","2025-11-17",2,0
"/collections/all/products/something-for-the-socialite","2025-11-17",1,0
"/collections/all/products/something-pharmacy","2025-11-17",1,0
"/collections/all/products/your-seasonal-remedy-box","2025-11-17",1,0
"/collections/amenity-products/products/something-for-bloated-tums","2025-11-17",0,0
"/collections/amenity-products/products/something-for-dreaming","2025-11-17",0,0
"/collections/amenity-products/products/something-for-the-calorie-bombs","2025-11-17",0,0
"/collections/amenity-products/products/something-for-the-knackered","2025-11-17",1,0
"/collections/christmas-packs/products/for-the-high-performer","2025-11-17",0,0
"/collections/immunity/products/winter-fix","2025-11-17",0,0
"/collections/kits/products/copy-of-the-party-animal","2025-11-17",0,0
"/collections/kits/products/selfcare-queen","2025-11-17",0,0
"/collections/kits/products/something-for-the-athlete","2025-11-17",0,0
"/collections/kits/products/something-for-the-health-junkie","2025-11-17",0,0
"/collections/kits/products/something-for-the-hypochondriac","2025-11-17",0,0
"/collections/kits/products/something-for-the-lost-cause","2025-11-17",0,0
"/collections/kits/products/something-for-the-power-woman","2025-11-17",2,0
"/collections/liver-health-kits/products/detox-14-drinking-10-bombs-10","2025-11-17",2,1
"/collections/liver-health-kits/products/detox-14-drinking-30-bombs-30","2025-11-17",0,0
"/collections/liver-health-kits/products/detox-21-bombs-10","2025-11-17",2,0
"/collections/liver-health-kits/products/detox-21-drinking-10","2025-11-17",11,0
"/collections/liver-health-kits/products/detox-21-drinking-30-bombs-30","2025-11-17",0,0
"/collections/liver-health-kits/products/detox-28-drinking-10-bombs-10","2025-11-17",0,0
"/collections/liver-health-kits/products/detox-28-drinking-30-bombs-30","2025-11-17",3,0
"/collections/liver-health-kits/products/detox-7-drinking-10-bombs-10","2025-11-17",0,0
"/collections/liver-health-kits/products/holiday-survival-kit","2025-11-17",0,0
"/collections/sets/products/21-day-immune-health-program","2025-11-17",0,0
"/collections/sets/products/21-days-detox-program","2025-11-17",1,0
"/collections/sets/products/biocol-labs-x-design-hotels","2025-11-17",0,0
"/collections/sets/products/health-pack","2025-11-17",1,0
"/collections/shop-by-brand-all/products/biocol-labs-x-design-hotels","2025-11-17",0,0
"/collections/shop-by-brand-all/products/something-for-achoos","2025-11-17",0,0
"/collections/shop-by-brand-all/products/something-for-bloated-tums","2025-11-17",0,0
"/products/1-week-liver-detox-5-alcohol-protectors-5-carb-fat-blockers","2025-11-17",0,0
"/products/1-week-liver-detox-5-alcohol-protectors-5-carb-fat-blockers-copy","2025-11-17",0,0
"/products/2-weeks-liver-detox-15-alcohol-protectors","2025-11-17",0,0
"/products/2-weeks-liver-detox-15-alcohol-protectors-15-carb-fat-blockers","2025-11-17",0,0
"/products/2-weeks-liver-detox-15-carb-fat-blockers","2025-11-17",0,0
"/products/2-weeks-liver-detox-5-alcohol-protectors-5-fat-blockers","2025-11-17",0,0
"/products/21-day-immune-health-program","2025-11-17",3,0
"/products/21-days-detox-program","2025-11-17",18,0
"/products/3-month-fatty-liver-protocol","2025-11-17",0,0
"/products/3-weeks-liver-detox-15-alcohol-protectors","2025-11-17",1,0
"/products/3-weeks-liver-detox-15-carb-fat-blockers","2025-11-17",1,0
"/products/3-weeks-liver-detox-5-alcohol-protectors","2025-11-17",0,0
"/products/3-weeks-liver-detox-5-fat-blockers","2025-11-17",0,0
"/products/30-alcohol-protectors","2025-11-17",0,0
"/products/30-carb-fat-blockers","2025-11-17",1,0
"/products/4-weeks-liver-detox-15-alcohol-protectors-15-carb-fat-blockers","2025-11-17",0,0
"/products/45-alcohol-protectors","2025-11-17",0,0
"/products/45-carb-fat-blockers","2025-11-17",1,0
"/products/6-months-liver-health-program","2025-11-17",0,0
"/products/6-months-liver-health-program-6-weeks-liver-detox","2025-11-17",1,0
"/products/6-months-liver-reset-program","2025-11-17",1,0
"/products/6-months-liver-reset-program-6-weeks-liver-detox","2025-11-17",1,1
"/products/90x-alcohol-protection-capsules-90x-carb-fat-blocking-capsules","2025-11-17",1,0
"/products/ZGV0b3gtc3","2025-11-17",0,0
"/products/ZmF0dHktbG","2025-11-17",0,0
"/products/biocol-labs-x-design-hotels","2025-11-17",3,0
"/products/copy-of-the-party-animal","2025-11-17",0,0
"/products/detox-14-drinking-10-bombs-10","2025-11-17",11,1
"/products/detox-14-drinking-30-bombs-30","2025-11-17",2,0
"/products/detox-2","2025-11-17",2,0
"/products/detox-21-bombs-10","2025-11-17",21,2
"/products/detox-21-drinking-10","2025-11-17",17,0
"/products/detox-21-drinking-30-bombs-30","2025-11-17",1,0
"/products/detox-28-drinking-10-bombs-10","2025-11-17",17,1
"/products/detox-28-drinking-30-bombs-30","2025-11-17",13,0
"/products/detox-3-months-pre-paid","2025-11-17",0,0
"/products/detox-5","2025-11-17",0,0
"/products/detox-6-months-pre-paid","2025-11-17",1,0
"/products/detox-7-drinking-10-bombs-10","2025-11-17",5,0
"/products/detox-copy","2025-11-17",2,0
"/products/detox-copy-1","2025-11-17",0,0
"/products/detox-protocols","2025-11-17",0,0
"/products/detox-stick-packs","2025-11-17",3,1
"/products/detox-w-sachets","2025-11-17",1,0
"/products/f=","2025-11-17",0,0
"/products/fa=","2025-11-17",0,0
"/products/fat=","2025-11-17",0,0
"/products/fatt=","2025-11-17",0,0
"/products/fatty-=","2025-11-17",0,0
"/products/fatty-l=","2025-11-17",0,0
"/products/fatty-li=","2025-11-17",0,0
"/products/fatty-live=","2025-11-17",0,0
"/products/fatty-liver-=","2025-11-17",0,0
"/products/fatty-liver-p=","2025-11-17",0,0
"/products/fatty-liver-pr=","2025-11-17",0,0
"/products/fatty-liver-pro=","2025-11-17",0,0
"/products/fatty-liver-prot=","2025-11-17",0,0
"/products/fatty-liver-proto=","2025-11-17",0,0
"/products/fatty-liver-protocol","2025-11-17",0,0
"/products/fatty-liver-protocol)","2025-11-17",0,0
"/products/fatty-liver-protocol-6-month-supply","2025-11-17",0,0
"/products/fatty-liver-protocol-monthly-delivery-copy","2025-11-17",0,0
"/products/fatty-liver-protocol=","2025-11-17",0,0
"/products/fatty-liver-protocol__;!!F1ew_n7Lmw!gV710woqCR-4VAloaf56lx3LmGGuXxbgUFLUU-9vsVuwEQV9hLHqsE4rWSc10ye4GIqX3Th1IpUkOpm0pA$","2025-11-17",0,0
"/products/fatty-liver=","2025-11-17",0,0
"/products/fatty=","2025-11-17",0,0
"/products/flyer-beauty-seeker","2025-11-17",0,0
"/products/flyer-detox-impulse","2025-11-17",0,0
"/products/gift-card","2025-11-17",1,0
"/products/health-pack","2025-11-17",2,0
"/products/holiday-sur=","2025-11-17",0,0
"/products/holiday-survival-kit","2025-11-17",0,0
"/products/i-feel%C2%AE-control","2025-11-17",2,0
"/products/i-feel%C2%AE-maintain","2025-11-17",0,0
"/products/i-feel%C2%AE-program","2025-11-17",4,0
"/products/i-feel%C2%AE-reduce","2025-11-17",0,0
"/products/i-feel%c2%ae-maintain","2025-11-17",0,0
"/products/i-feel%c2%ae-program","2025-11-17",0,0
"/products/selfcare-queen","2025-11-17",1,0
"/products/something%C2%AE-for-a-liver-reset","2025-11-17",17,1
"/products/something%C2%AE-for-a-liver-reset-4","2025-11-17",0,0
"/products/something%c2%ae-for-a-liver-reset","2025-11-17",4,0
"/products/something-for-a-cactus-throat","2025-11-17",5,1
"/products/something-for-a-detox-week","2025-11-17",646,87
"/products/something-for-a-detox-week)","2025-11-17",0,0
"/products/something-for-a-fatty-liver","2025-11-17",0,0
"/products/something-for-a-liver-reset","2025-11-17",0,0
"/products/something-for-a-mini-rehab","2025-11-17",24,2
"/products/something-for-anxiety","2025-11-17",0,0
"/products/something-for-bloated-tums","2025-11-17",0,0
"/products/something-for-dreaming","2025-11-17",9,1
"/products/something-for-immunity","2025-11-17",4,0
"/products/something-for-liver-health","2025-11-17",4,0
"/products/something-for-the-calorie-bombs","2025-11-17",15,0
"/products/something-for-the-knackered","2025-11-17",6,0
"/products/something-for-the-party-animal","2025-11-17",0,0
"/products/something-for-the-power-woman","2025-11-17",2,0
"/products/your-seasonal-remedy-box","2025-11-17",0,0
"/COLLECTIONS/ALL/PRODUCTS/SOMETHINGFOR-DREAMING","2025-11-24",0,0
"/collections/all-portfolio/products/quarantine-health-pack","2025-11-24",0,0
"/collections/all-portfolio/products/something-for-bloated-tums","2025-11-24",0,0
"/collections/all/products/21-day-immune-health-program","2025-11-24",5,0
"/collections/all/products/21-days-detox-program","2025-11-24",64,5
"/collections/all/products/biocol-labs-x-design-hotels","2025-11-24",1,0
"/collections/all/products/c29tZXRoaW","2025-11-24",0,0
"/collections/all/products/copy-of-the-party-animal","2025-11-24",5,0
"/collections/all/products/daily-life-tiredness","2025-11-24",1,0
"/collections/all/products/detox-14-drinking-10-bombs-10","2025-11-24",0,0
"/collections/all/products/detox-14-drinking-30-bombs-30","2025-11-24",0,0
"/collections/all/products/detox-21-drinking-10","2025-11-24",0,0
"/collections/all/products/detox-28-drinking-10-bombs-10","2025-11-24",0,0
"/collections/all/products/detox-28-drinking-30-bombs-30","2025-11-24",0,0
"/collections/all/products/fatty-liver-protocol","2025-11-24",0,0
"/collections/all/products/fatty-liver-protocol-monthly-delivery-copy","2025-11-24",0,0
"/collections/all/products/frt","2025-11-24",0,0
"/collections/all/products/health-pack","2025-11-24",2,0
"/collections/all/products/holiday-survival-kit","2025-11-24",0,0
"/collections/all/products/noc","2025-11-24",1,0
"/collections/all/products/selfcare-queen","2025-11-24",8,0
"/collections/all/products/something%C2%AE-for-a-liver-reset","2025-11-24",81,4
"/collections/all/products/something%C2%AE-for-a-liver-reset-4","2025-11-24",0,0
"/collections/all/products/something-for-a-cactus-throat","2025-11-24",3,0
"/collections/all/products/something-for-a-detox-week","2025-11-24",5580,520
"/collections/all/products/something-for-a-mini-rehab","2025-11-24",37,3
"/collections/all/products/something-for-achoos","2025-11-24",0,0
"/collections/all/products/something-for-bloated-tums","2025-11-24",0,0
"/collections/all/products/something-for-dreaming","2025-11-24",28,1
"/collections/all/products/something-for-immunity","2025-11-24",51,0
"/collections/all/products/something-for-liver-health","2025-11-24",26,1
"/collections/all/products/something-for-the-athlete","2025-11-24",1,0
"/collections/all/products/something-for-the-calorie-bombs","2025-11-24",28,4
"/collections/all/products/something-for-the-knackered","2025-11-24",15,1
"/collections/all/products/something-for-the-party-animal","2025-11-24",1,0
"/collections/all/products/something-for-the-power-woman","2025-11-24",1,0
"/collections/all/products/something-for-the-socialite","2025-11-24",1,0
"/collections/all/products/something-pharmacy","2025-11-24",1,0
"/collections/all/products/your-seasonal-remedy-box","2025-11-24",3,0
"/collections/amenity-products/products/something-for-bloated-tums","2025-11-24",0,0
"/collections/amenity-products/products/something-for-dreaming","2025-11-24",1,0
"/collections/amenity-products/products/something-for-the-calorie-bombs","2025-11-24",0,0
"/collections/amenity-products/products/something-for-the-knackered","2025-11-24",3,0
"/collections/christmas-packs/products/for-the-high-performer","2025-11-24",0,0
"/collections/immunity/products/winter-fix","2025-11-24",0,0
"/collections/kits/products/copy-of-the-party-animal","2025-11-24",0,0
"/collections/kits/products/selfcare-queen","2025-11-24",0,0
"/collections/kits/products/something-for-the-athlete","2025-11-24",1,0
"/collections/kits/products/something-for-the-health-junkie","2025-11-24",1,0
"/collections/kits/products/something-for-the-hypochondriac","2025-11-24",0,0
"/collections/kits/products/something-for-the-lost-cause","2025-11-24",1,0
"/collections/kits/products/something-for-the-power-woman","2025-11-24",0,0
"/collections/liver-health-kits/products/detox-14-drinking-10-bombs-10","2025-11-24",9,1
"/collections/liver-health-kits/products/detox-14-drinking-30-bombs-30","2025-11-24",1,0
"/collections/liver-health-kits/products/detox-21-bombs-10","2025-11-24",3,0
"/collections/liver-health-kits/products/detox-21-drinking-10","2025-11-24",5,1
"/collections/liver-health-kits/products/detox-21-drinking-30-bombs-30","2025-11-24",0,0
"/collections/liver-health-kits/products/detox-28-drinking-10-bombs-10","2025-11-24",1,1
"/collections/liver-health-kits/products/detox-28-drinking-30-bombs-30","2025-11-24",2,0
"/collections/liver-health-kits/products/detox-7-drinking-10-bombs-10","2025-11-24",2,0
"/collections/liver-health-kits/products/holiday-survival-kit","2025-11-24",0,0
"/collections/sets/products/21-day-immune-health-program","2025-11-24",1,0
"/collections/sets/products/21-days-detox-program","2025-11-24",4,0
"/collections/sets/products/biocol-labs-x-design-hotels","2025-11-24",1,0
"/collections/sets/products/health-pack","2025-11-24",2,0
"/collections/shop-by-brand-all/products/biocol-labs-x-design-hotels","2025-11-24",0,0
"/collections/shop-by-brand-all/products/something-for-achoos","2025-11-24",0,0
"/collections/shop-by-brand-all/products/something-for-bloated-tums","2025-11-24",0,0
"/products/1-week-liver-detox-5-alcohol-protectors-5-carb-fat-blockers","2025-11-24",0,0
"/products/1-week-liver-detox-5-alcohol-protectors-5-carb-fat-blockers-copy","2025-11-24",0,0
"/products/2-weeks-liver-detox-15-alcohol-protectors","2025-11-24",0,0
"/products/2-weeks-liver-detox-15-alcohol-protectors-15-carb-fat-blockers","2025-11-24",0,0
"/products/2-weeks-liver-detox-15-carb-fat-blockers","2025-11-24",0,0
"/products/2-weeks-liver-detox-5-alcohol-protectors-5-fat-blockers","2025-11-24",0,0
"/products/21-day-immune-health-program","2025-11-24",7,0
"/products/21-days-detox-program","2025-11-24",55,7
"/products/3-month-fatty-liver-protocol","2025-11-24",0,0
"/products/3-weeks-liver-detox-15-alcohol-protectors","2025-11-24",0,0
"/products/3-weeks-liver-detox-15-carb-fat-blockers","2025-11-24",1,0
